distance,stellar_magnitude,orbital_radius,eccentricity,mass_earth,radius_earth,Habitable
211.0,9.25,0.1758,0.05,4.72,2.017,0
5116.0,15.36,0.373,0.0,8.85,2.86317,0
1406.0,11.67,0.05548,0.0,174.8065,9.6536,0
1437.0,15.596,0.0795,0.0,4.66,2.0,0
64.0,7.53,0.198,0.09,10.26,3.11548,0
131.0,16.7,0.006,0.0,0.315,0.73,0
306.0,8.58,2.37,0.41,485.32640999999995,13.2737,0
1160.0,12.725,0.03138,0.0,375.03939999999994,14.107420000000001,0
759.0,14.126,0.07,0.0,12.8,3.5433100000000004,0
336.0,12.759,0.0656,0.06,4.54,1.97,0
587.0,12.573,0.1103,0.0,7.9,2.67668,0
2141.0,14.035,0.248,0.0,10.0,3.0716000000000006,0
597.0,11.491,0.067,0.0,1.92,1.21,0
20.0,4.26,0.3499,0.0,4.8,2.04,0
1725.0,13.279,0.0444,0.21,210.40346,13.33952,0
1556.0,12.081,0.11000234672021421,0.0,1.98,1.22,0
15.0,10.16,0.208317,0.03,723.2539479999999,13.0543,0
253.0,13.677,0.041,0.0,4.46,1.95,0
86.0,8.09,0.056,0.207,4.0,1.83,0
3051.0,13.014,0.04363,0.09,248.86088999999998,17.442300000000003,0
143.0,9.36,5.359964,0.34,2155.4181761,12.396099999999999,0
1918.0,15.958,0.0747,0.0,5.35,2.17,0
2783.0,15.284,0.0433,0.0,10.8,3.22518,0
177.0,7.86,5.581571,0.05,2959.0449745,12.286400000000002,0
3344.0,13.95,0.1012,0.0,4.16,1.99,0
2540.0,14.564,0.227,0.0,5.99,2.27079,0
2184.0,14.512,0.2587,0.0,5.38,2.178,0
3337.0,15.284,0.0659,0.0,8.25,2.7425,0
1256.0,12.195,0.094,0.0,2.39,1.35,0
182.0,7.457,2.306,0.12,511.7063,13.2737,0
2543.0,13.644,0.0528,0.0,2.1,1.25,0
1559.0,11.671,0.1829,0.04,6.1,2.54504,0
937.0,13.329,0.11000234672021421,0.0,3.12,1.579,0
2278.0,12.842,0.2743,0.0,16.3,4.091810000000001,0
3206.0,13.972,0.0269,0.0,3.12,1.58,0
2610.0,13.447958559585492,1.26,0.0,0.96,0.997,0
23519.0,13.527889917502787,0.9,0.0,6.7,2.42437,0
1913.0,13.003,0.198,0.0,5.52,2.21,0
621.0,16.37,0.035,0.0,1.32,1.09,0
915.0,13.847,0.0497,0.0,9.01,2.8851100000000005,0
600.0,8.44,130.0,0.0,794.5749999999999,12.9446,0
3384.0,13.647,0.2901,0.0,37.5,3.0386900000000003,0
1963.0,16.21,0.1441,0.0,6.39,2.35855,0
4253.0,13.392,0.1967,0.0,3.12,1.58,0
920.0,10.972,0.05165,0.0,171.6282,15.4677,0
1165.0,13.439,0.0491,0.0,2.32,1.326,0
6543.0,15.479,0.0586,0.02,266.9772,16.0162,0
205.0,8.270001,0.0528,0.13,3.61,1.72,0
1093.0,11.31,0.05222,0.0,457.67519999999996,13.284670000000002,0
151.0,3.31216,5.931,0.18,7838.32346,11.737900000000002,0
1058.0,14.988,0.04515,0.071,112.19398999999999,8.392050000000001,0
89.0,10.03,0.3,0.4,15.37,3.9492000000000003,0
64.0,3.85,10.019926,0.11,3729.1407078999996,18.1005,0
165.0,7.5,2.51,0.23,1010.6994,12.8349,0
2175.0,13.78,0.03159,0.134,471.65972,14.458460000000002,0
1281.0,12.815,0.0446,0.0,572.0939999999999,12.7252,0
175.0,8.97,0.1752,0.03,8.0,3.1264499999999997,0
1518.0,12.444,0.0191,0.0,2.92,1.52,0
1888.0,15.746,0.081,0.0,3.15,1.59,0
3273.0,15.216,0.0976,0.0,2.99,1.54,0
1033.0,11.572,0.178,0.0,8.75,2.8412300000000004,0
1371.0,13.827,0.0466,0.0,1.01,1.01,0
4251.0,15.667,0.024,0.0,2.15,1.27,0
3460.0,13.383,0.0641,0.0,11.2,3.291,0
1206.0,14.221,0.1209,0.0,46.08534999999999,7.55833,0
2341.0,15.569,0.116,0.0,4.46,1.95,0
622.0,12.335,440.0,0.0,5403.11,24.134000000000004,0
735.0,17.0484,0.0594,0.0,2.73,1.46,0
3362.0,15.01,0.0459,0.0,3.15,1.59,0
3015.0,13.94,0.0726,0.0,0.363,0.76,0
3211.0,14.181,0.2327,0.0,13.4,3.6530100000000005,0
2763.0,10.291,0.747,0.05,2089.73225,12.396099999999999,0
440.0,13.98,330.0,0.0,3496.1299999999997,29.619000000000003,0
959.0,12.227,0.0798,0.0,0.799,0.947,0
2878.0,15.912,0.0143,0.0,1.92,1.21,0
194.0,11.272,0.0144,0.0,3.46,1.68,0
344.0,11.903,0.22512646203649203,0.0,5.73,2.2159400000000002,0
114.0,9.92,14.91853,0.23,6410.7296273,11.847600000000002,0
2955.0,13.548,0.1186,0.0,15.6,3.99308,0
924.0,15.607,0.1445,0.0,7.27,2.54504,0
1587.0,12.139,0.0847,0.0,0.229,0.668,0
19.0,7.49,2.94,0.13,13.6,3.6749500000000004,0
3159.0,14.719,0.066,0.0,10.3,3.1264499999999997,0
1765.0,15.224,0.0089,0.0,2.57,1.41,0
3063.0,14.349,0.0897,0.0,9.43,2.9619000000000004,0
2006.0,14.549,0.018,0.0,0.299,0.72,0
1148.0,17.8298,0.2952,0.0,33.8,6.29678,0
2097.0,14.033,2.504,0.083,4036.4409999999993,12.067000000000002,0
11417.0,24.3,2.42,0.0,171.6282,13.9319,0
1036.0,13.738,0.156,0.0,4.66,2.0,0
179.0,7.57,0.034,0.22,11.8,3.38973,0
3081.0,15.651,0.0829,0.0,4.5,1.96,0
404.0,10.939,0.0823,0.0,9.8,3.0386900000000003,0
2620.0,15.353,0.6687,0.0,7.13,2.5121300000000004,0
41.0,17.02,0.0158,0.01,1.308,1.097,0
361.0,10.971,0.11000234672021421,0.0,2.61,1.423,0
2149.0,14.942,0.0614,0.0,1.98,1.219,0
3329.0,14.73,0.1401,0.0,7.32,2.55601,0
1177.0,11.784,0.0531,0.0,3.09,1.57,0
61.0,10.38,0.099,0.2,12.44,3.4884600000000003,0
2222.0,14.829,0.3576,0.0,9.4,2.9619000000000004,0
1720.0,14.767,0.2494,0.0,2.7,1.45,0
2606.0,13.779,0.1075,0.0,4.66,2.0,0
3139.0,15.931,0.1143,0.0,4.7,2.01,0
2687.0,14.081,0.109,0.0,2.51,1.39,0
805.0,10.421,1.258,0.66,4538.6124,12.067000000000002,0
545.0,16.363,0.255,0.33,3.89,1.8,1
1520.0,16.685,0.0273,0.0,2.63,1.43,0
774.0,10.505,0.099,0.07,2.92,1.52,0
86.0,16.91,0.029392,0.0,5.95,2.25982,0
23813.0,10.337002339522547,0.62,0.0,60.387699999999995,8.819880000000001,0
4108.0,13.438,0.0888,0.0,15.8,4.02599,0
605.0,16.701,0.11283,0.45,7.6,2.61086,0
253.0,11.625,0.1035,0.05,8.9,2.86317,0
76.0,7.51,0.041,0.14,8.5,2.7863800000000003,0
706.0,10.994,0.0449,0.18,90.29868129999998,10.213070000000002,0
1314.0,12.099,0.0956,0.0,2.32,1.326,0
3116.0,13.744,0.116,0.0,5.9,2.24885,0
1049.0,15.513,0.182,0.0,4.46,1.95,0
101.0,14.632,0.0685,0.0,1.37,1.1,0
168.0,10.16,7.7,0.14,4780.163199999999,11.957300000000002,0
3197.0,15.563,0.058,0.0,45.131859999999996,2.22691,0
